iso3,n_changes,total_periods,boundary_score,is_boundary_node
IRN,7,7,1.0,True
BFA,7,7,1.0,True
GUF,7,7,1.0,True
AFG,7,7,1.0,True
RWA,7,7,1.0,True
PRT,7,7,1.0,True
SVN,7,7,1.0,True
GHA,7,7,1.0,True
UGA,7,7,1.0,True
ETH,7,7,1.0,True
NOR,7,7,1.0,True
FRO,7,7,1.0,True
CHE,7,7,1.0,True
BWA,7,7,1.0,True
GIN,7,7,1.0,True
SOM,7,7,1.0,True
SRB,7,7,1.0,True
SWZ,7,7,1.0,True
CPV,7,7,1.0,True
CZE,7,7,1.0,True
TZA,7,7,1.0,True
SHN,7,7,1.0,True
PAK,7,7,1.0,True
GRL,7,7,1.0,True
NGA,7,7,1.0,True
ROU,7,7,1.0,True
HRV,7,7,1.0,True
SSD,7,7,1.0,True
SYC,7,7,1.0,True
TGO,7,7,1.0,True
LIE,7,7,1.0,True
FLK,7,7,1.0,True
POL,7,7,1.0,True
MLI,7,7,1.0,True
GIB,7,7,1.0,True
GAB,7,7,1.0,True
BDI,7,7,1.0,True
EGY,7,7,1.0,True
CMR,7,7,1.0,True
FIN,7,7,1.0,True
SWE,7,7,1.0,True
KWT,7,7,1.0,True
TCD,7,7,1.0,True
DNK,7,7,1.0,True
ISL,7,7,1.0,True
COD,7,7,1.0,True
NER,7,7,1.0,True
DJI,7,7,1.0,True
DEU,7,7,1.0,True
CIV,7,7,1.0,True
ARE,7,7,1.0,True
MOZ,7,7,1.0,True
BEN,7,7,1.0,True
ZAF,7,7,1.0,True
MHL,7,7,1.0,True
LSO,7,7,1.0,True
GNQ,7,7,1.0,True
BIH,7,7,1.0,True
MWI,7,7,1.0,True
AGO,7,7,1.0,True
STP,7,7,1.0,True
SDN,7,7,1.0,True
ZWE,7,7,1.0,True
AUT,7,7,1.0,True
CAF,7,7,1.0,True
SVK,7,7,1.0,True
KEN,7,7,1.0,True
SLE,7,7,1.0,True
ZMB,7,7,1.0,True
HUN,7,7,1.0,True
MNE,7,7,1.0,True
COG,7,7,1.0,True
NAM,7,7,1.0,True
LBR,7,7,1.0,True
IND,6,7,0.8571428571428571,True
SAU,6,7,0.8571428571428571,True
OMN,6,7,0.8571428571428571,True
JOR,6,7,0.8571428571428571,True
MDG,6,7,0.8571428571428571,True
MDV,6,7,0.8571428571428571,True
REU,6,7,0.8571428571428571,True
PLW,6,7,0.8571428571428571,True
HKG,6,7,0.8571428571428571,True
BHR,6,7,0.8571428571428571,True
GLP,6,7,0.8571428571428571,True
MMR,6,7,0.8571428571428571,True
CAN,6,7,0.8571428571428571,True
LUX,6,7,0.8571428571428571,True
LBY,6,7,0.8571428571428571,True
ISR,6,7,0.8571428571428571,True
URY,6,7,0.8571428571428571,True
LCA,6,7,0.8571428571428571,True
IRQ,6,7,0.8571428571428571,True
BEL,6,7,0.8571428571428571,True
BRN,6,7,0.8571428571428571,True
IRL,6,7,0.8571428571428571,True
MNP,6,7,0.8571428571428571,True
LKA,6,7,0.8571428571428571,True
BOL,6,7,0.8571428571428571,True
PYF,6,7,0.8571428571428571,True
BRB,6,7,0.8571428571428571,True
VUT,6,7,0.8571428571428571,True
GUY,6,7,0.8571428571428571,True
FRA,6,7,0.8571428571428571,True
SPM,6,7,0.8571428571428571,True
TUR,6,7,0.8571428571428571,True
SEN,6,7,0.8571428571428571,True
FSM,6,7,0.8571428571428571,True
MAR,6,7,0.8571428571428571,True
GBR,6,7,0.8571428571428571,True
ARG,6,7,0.8571428571428571,True
MCO,6,7,0.8571428571428571,True
AND,6,7,0.8571428571428571,True
IMN,6,7,0.8571428571428571,True
GNB,6,7,0.8571428571428571,True
ERI,6,7,0.8571428571428571,True
PRY,6,7,0.8571428571428571,True
DMA,6,7,0.8571428571428571,True
TUN,6,7,0.8571428571428571,True
LBN,6,7,0.8571428571428571,True
BGR,6,7,0.8571428571428571,True
MAC,6,7,0.8571428571428571,True
ESH,6,7,0.8571428571428571,True
MYS,6,7,0.8571428571428571,True
NPL,6,7,0.8571428571428571,True
MRT,6,7,0.8571428571428571,True
MKD,6,7,0.8571428571428571,True
MLT,6,7,0.8571428571428571,True
NCL,6,7,0.8571428571428571,True
PHL,6,7,0.8571428571428571,True
VAT,6,7,0.8571428571428571,True
GUM,6,7,0.8571428571428571,True
DZA,6,7,0.8571428571428571,True
CHL,6,7,0.8571428571428571,True
BTN,6,7,0.8571428571428571,True
SMR,6,7,0.8571428571428571,True
YEM,6,7,0.8571428571428571,True
MYT,6,7,0.8571428571428571,True
COM,6,7,0.8571428571428571,True
WLF,6,7,0.8571428571428571,True
ITA,6,7,0.8571428571428571,True
ESP,6,7,0.8571428571428571,True
BGD,6,7,0.8571428571428571,True
PSE,6,7,0.8571428571428571,True
SGP,6,7,0.8571428571428571,True
MTQ,6,7,0.8571428571428571,True
GMB,6,7,0.8571428571428571,True
MUS,6,7,0.8571428571428571,True
CHI,6,7,0.8571428571428571,True
AIA,5,7,0.7142857142857143,True
HTI,5,7,0.7142857142857143,True
TUV,5,7,0.7142857142857143,True
TKL,5,7,0.7142857142857143,True
DOM,5,7,0.7142857142857143,True
KIR,5,7,0.7142857142857143,True
PER,5,7,0.7142857142857143,True
COL,5,7,0.7142857142857143,True
THA,5,7,0.7142857142857143,True
IDN,5,7,0.7142857142857143,True
TCA,5,7,0.7142857142857143,True
AUS,5,7,0.7142857142857143,True
CHN,5,7,0.7142857142857143,True
PNG,5,7,0.7142857142857143,True
BHS,5,7,0.7142857142857143,True
NRU,5,7,0.7142857142857143,True
ALB,5,7,0.7142857142857143,True
VGB,5,7,0.7142857142857143,True
NIU,5,7,0.7142857142857143,True
JAM,5,7,0.7142857142857143,True
GRD,5,7,0.7142857142857143,True
BRA,5,7,0.7142857142857143,True
TON,5,7,0.7142857142857143,True
NLD,5,7,0.7142857142857143,True
SYR,5,7,0.7142857142857143,True
LAO,5,7,0.7142857142857143,True
TWN,5,7,0.7142857142857143,True
SXM,5,7,0.7142857142857143,True
WSM,5,7,0.7142857142857143,True
FJI,5,7,0.7142857142857143,True
CYP,5,7,0.7142857142857143,True
ECU,5,7,0.7142857142857143,True
NZL,5,7,0.7142857142857143,True
KHM,5,7,0.7142857142857143,True
ASM,5,7,0.7142857142857143,True
TLS,5,7,0.7142857142857143,True
BMU,5,7,0.7142857142857143,True
QAT,5,7,0.7142857142857143,True
MSR,5,7,0.7142857142857143,True
VEN,5,7,0.7142857142857143,True
SLB,5,7,0.7142857142857143,True
COK,5,7,0.7142857142857143,True
SUR,5,7,0.7142857142857143,True
GRC,5,7,0.7142857142857143,True
VCT,5,7,0.7142857142857143,True
LTU,5,7,0.7142857142857143,True
KNA,5,7,0.7142857142857143,True
CYM,5,7,0.7142857142857143,True
VNM,4,7,0.5714285714285714,True
MEX,4,7,0.5714285714285714,True
KGZ,4,7,0.5714285714285714,True
CUB,4,7,0.5714285714285714,True
UKR,4,7,0.5714285714285714,True
TJK,4,7,0.5714285714285714,True
TKM,4,7,0.5714285714285714,True
AZE,4,7,0.5714285714285714,True
USA,4,7,0.5714285714285714,True
EST,4,7,0.5714285714285714,True
BES,4,7,0.5714285714285714,True
ATG,4,7,0.5714285714285714,True
GEO,4,7,0.5714285714285714,True
SLV,4,7,0.5714285714285714,True
TTO,4,7,0.5714285714285714,True
PRI,4,7,0.5714285714285714,True
KAZ,4,7,0.5714285714285714,True
JPN,4,7,0.5714285714285714,True
CUW,4,7,0.5714285714285714,True
VIR,4,7,0.5714285714285714,True
GTM,4,7,0.5714285714285714,True
PAN,4,7,0.5714285714285714,True
KOR,4,7,0.5714285714285714,True
