iso3,year,in_degree_centrality,out_degree_centrality,in_strength,out_strength,betweenness_centrality,pagerank
BES,1990,0.0,0.034482758620689655,0.0,1631.0,0.0,0.0006437768240343349
ABW,1990,0.09482758620689655,0.06034482758620689,6322.0,2585.0,0.0,0.0016393052707461826
CHN,1990,0.41810344827586204,0.5862068965517241,187067.0,1890424.0,0.09245307135393344,0.005611102127640672
COL,1990,0.23275862068965517,0.22844827586206895,47178.0,539538.0,0.013412542916853263,0.0036226362694324783
CUW,1990,0.1853448275862069,0.05172413793103448,24672.0,1529.0,0.014869010300044784,0.004279222426109683
DMA,1990,0.14224137931034483,0.12068965517241378,985.0,10537.0,0.004217233915509778,0.0007826078096700357
DOM,1990,0.3793103448275862,0.21551724137931033,108940.0,273427.0,0.013434281236005374,0.004302319827745027
GRD,1990,0.06465517241379311,0.09051724137931035,1413.0,13286.0,0.0,0.0007276065328544398
GUY,1990,0.06896551724137931,0.15948275862068964,1703.0,115269.0,4.3476638304224514e-05,0.0007209395234492066
HTI,1990,0.09051724137931035,0.17672413793103448,7859.0,231253.0,0.012847346618898345,0.0009438279933768215
IND,1990,0.16379310344827586,0.5043103448275862,3425966.0,2570867.0,0.10877854903716974,0.015948919621220903
JAM,1990,0.09051724137931035,0.19827586206896552,9324.0,339896.0,0.014129907448872967,0.0016274864090672675
NIC,1990,0.22844827586206895,0.15086206896551724,19971.0,228917.0,0.00982572025675474,0.0016083338830862315
NLD,1990,0.1724137931034483,0.3577586206896552,551619.0,239611.0,0.011912598895357517,0.00619178464718857
PER,1990,0.22413793103448276,0.22844827586206895,18219.0,157780.0,0.0,0.0013980828214425194
PHL,1990,0.03879310344827586,0.3620689655172414,43217.0,1229596.0,0.012782131661442007,0.0019116202823282157
PRT,1990,0.5172413793103449,0.2672413793103448,223581.0,751598.0,0.029151085982982536,0.005349899509717434
SUR,1990,0.017241379310344827,0.08620689655172414,4871.0,105873.0,0.004304187192118227,0.000695459981398018
SXM,1990,0.14224137931034483,0.034482758620689655,11419.0,595.0,0.0,0.004215065496832617
TUR,1990,0.1896551724137931,0.3189655172413793,561682.0,845437.0,0.009782243618450516,0.005763141085930005
USA,1990,0.2543103448275862,0.6810344827586207,10485984.0,870689.0,0.5535445588893865,0.12585152391445367
VCT,1990,0.06465517241379311,0.09051724137931035,1920.0,12934.0,0.0,0.0012641973141337606
VEN,1990,0.4870689655172414,0.21551724137931033,507371.0,112495.0,0.06104120017913122,0.007730258319020919
PAK,1990,0.034482758620689655,0.3275862068965517,2941941.0,1189760.0,0.011108281086729363,0.007735141909270178
AFG,1990,0.01293103448275862,0.21982758620689655,22072.0,3480708.0,0.013347327959396926,0.0007405747809921724
TJK,1990,0.15086206896551724,0.10344827586206896,240556.0,280096.0,0.017673253470667265,0.001388855321635003
UZB,1990,0.04310344827586207,0.15086206896551724,888974.0,756748.0,0.0,0.002855660343222808
CIV,1990,0.04310344827586207,0.14224137931034483,727073.0,172729.0,0.022651328556500972,0.01126274463730043
AGO,1990,0.05603448275862069,0.13793103448275862,12588.0,408463.0,0.008543159426780116,0.0009823982648777718
COD,1990,0.030172413793103446,0.19827586206896552,343785.0,197029.0,0.016042879534258845,0.001953629455720511
COG,1990,0.08620689655172414,0.12931034482758622,61442.0,30654.0,0.0,0.0016754157201386397
CPV,1990,0.15086206896551724,0.07758620689655173,3617.0,25595.0,0.004304187192118227,0.000834299686329198
GIN,1990,0.1336206896551724,0.14655172413793102,201249.0,140070.0,0.011260449320794149,0.0029065765228180407
MOZ,1990,0.06896551724137931,0.125,52310.0,937419.0,0.048085161964472316,0.002257185480135238
NAM,1990,0.35344827586206895,0.05603448275862069,55159.0,22333.0,8.695327660844903e-05,0.002447586351767086
RWA,1990,0.021551724137931036,0.10775862068965517,68886.0,291336.0,0.004521570383639349,0.0017044632017504948
STP,1990,0.02586206896551724,0.034482758620689655,2567.0,7064.0,0.0,0.0007083131418867708
TCD,1990,0.04310344827586207,0.09913793103448276,31802.0,165082.0,0.0011521309150619497,0.0016952381481076192
ZAF,1990,0.5129310344827586,0.28879310344827586,313797.0,149930.0,0.050737236901030006,0.01134312259316521
ZMB,1990,0.11637931034482758,0.09913793103448276,132180.0,36870.0,2.1738319152112257e-05,0.002146091553461019
CAN,1990,0.5517241379310345,0.48275862068965514,2160237.0,631436.0,0.02754245036572623,0.04827455713604451
AIA,1990,0.03879310344827586,0.04741379310344827,873.0,1096.0,0.0,0.0012099266431577324
GBR,1990,0.13793103448275862,0.5905172413793104,1507261.0,2017950.0,0.34487843334826096,0.039379401649225675
KNA,1990,0.05603448275862069,0.08620689655172414,769.0,5300.0,0.0,0.0013615066272939932
MSR,1990,0.04310344827586207,0.03879310344827586,801.0,1054.0,0.0,0.0007322170030527515
VIR,1990,0.08620689655172414,0.06034482758620689,23065.0,1189.0,0.02371650619495447,0.005631116614836306
ALB,1990,0.02586206896551724,0.15086206896551724,31240.0,78750.0,0.00423897223466189,0.0014013868222455613
GRC,1990,0.8405172413793104,0.22413793103448276,288101.0,421732.0,0.01836887968353486,0.010905276873435846
ITA,1990,0.6120689655172413,0.4353448275862069,857580.0,1593226.0,0.08343166890580685,0.027043021891112858
MKD,1990,0.08189655172413793,0.12931034482758622,54591.0,202461.0,0.0,0.0013661002023936451
ARG,1990,0.3103448275862069,0.25862068965517243,852762.0,205649.0,0.03821596506941335,0.014844674923466888
AND,1990,0.07758620689655173,0.021551724137931036,17738.0,74.0,0.0,0.0009151266643406218
AUS,1990,0.8318965517241379,0.3922413793103448,1869330.0,129528.0,0.10008322137632483,0.04894094253281649
BEL,1990,0.35344827586206895,0.3017241379310345,447695.0,176027.0,0.006108467681743545,0.009070657798349152
CHE,1990,0.1939655172413793,0.3146551724137931,614022.0,208222.0,0.004304187192118227,0.009757074676746025
CHL,1990,0.40948275862068967,0.21120689655172414,48900.0,191533.0,0.004978075085833707,0.003296942417477404
DEU,1990,0.11206896551724138,0.5258620689655172,2380955.0,2212649.0,0.3169446932377967,0.019709829435296977
DNK,1990,0.7025862068965517,0.22844827586206895,114266.0,58903.0,0.022760020152261532,0.0061492827446502155
ESP,1990,0.17672413793103448,0.35344827586206895,395387.0,708742.0,0.08356209882071952,0.010468801415003998
FRA,1990,0.22413793103448276,0.5689655172413793,2703486.0,766011.0,0.25194711897298105,0.029079912795943626
MAR,1990,0.07758620689655173,0.23275862068965517,20714.0,587447.0,0.0,0.0011640289690169007
SWE,1990,0.23706896551724138,0.2629310344827586,392427.0,61968.0,0.009304000597104047,0.009645511322339637
URY,1990,0.07327586206896551,0.16379310344827586,47943.0,88335.0,0.0,0.0018109371838677338
