iso3,year,louvain_community,leiden_community,gn_community,dominant_region,community_label
BES,1990,0,1,0,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
ABW,1990,0,1,1,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
CHN,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
COL,1990,0,1,3,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
CUW,1990,0,1,4,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
DMA,1990,1,0,5,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
DOM,1990,0,1,6,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
GRD,1990,1,0,7,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
GUY,1990,0,1,8,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
HTI,1990,0,1,6,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
IND,1990,2,6,2,South Asia,Cluster 2: South Asia
JAM,1990,1,0,9,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
NIC,1990,1,0,10,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
NLD,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
PER,1990,0,1,11,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
PHL,1990,4,3,2,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
PRT,1990,0,1,12,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
SUR,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
SXM,1990,0,1,13,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
TUR,1990,3,2,2,Pan-Europe,Cluster 3: Pan-Europe
USA,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
VCT,1990,1,0,14,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
VEN,1990,0,1,2,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
PAK,1990,2,6,2,South Asia,Cluster 2: South Asia
AFG,1990,2,6,2,South Asia,Cluster 2: South Asia
TJK,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
UZB,1990,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia
CIV,1990,6,4,15,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
AGO,1990,0,1,12,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
COD,1990,4,3,16,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
COG,1990,1,4,17,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
CPV,1990,0,1,18,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
GIN,1990,6,4,15,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
MOZ,1990,0,1,12,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
NAM,1990,1,0,19,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
RWA,1990,4,0,20,Sub-Saharan Africa & Western Asia,Cluster 4: Sub-Saharan Africa & Western Asia
STP,1990,0,1,21,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
TCD,1990,6,4,22,Sub-Saharan Africa,Cluster 6: Sub-Saharan Africa
ZAF,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
ZMB,1990,1,0,23,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
CAN,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
AIA,1990,0,0,24,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
GBR,1990,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
KNA,1990,0,1,25,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa
MSR,1990,1,0,26,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
VIR,1990,1,0,27,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa
ALB,1990,3,2,28,Pan-Europe,Cluster 3: Pan-Europe
