iso3,year,louvain_community,leiden_community,gn_community
PAK,1990,0,6,0
AFG,1990,0,6,0
TJK,1990,1,5,1
UZB,1990,1,5,1
COD,1990,4,8,2
AGO,1990,4,8,2
COG,1990,4,3,3
CPV,1990,4,8,4
GIN,1990,4,3,5
MOZ,1990,5,0,6
NAM,1990,5,0,7
PRT,1990,3,4,8
RWA,1990,5,0,9
STP,1990,4,8,10
TCD,1990,4,3,11
ZAF,1990,5,0,0
ZMB,1990,5,0,12
CAN,1990,5,0,0
ALB,1990,5,0,13
GRC,1990,5,0,0
ITA,1990,3,2,0
MKD,1990,3,2,14
TUR,1990,2,2,0
USA,1990,7,1,0
ARG,1990,3,4,0
AND,1990,3,4,15
AUS,1990,5,0,0
BEL,1990,3,4,0
CHE,1990,3,2,0
CHL,1990,3,4,0
DEU,1990,7,2,0
DNK,1990,2,2,16
ESP,1990,3,4,0
FRA,1990,3,4,0
GBR,1990,5,0,0
MAR,1990,3,4,0
NLD,1990,5,0,0
PHL,1990,7,1,0
SWE,1990,2,2,17
URY,1990,3,4,0
ARE,1990,0,6,0
BGD,1990,7,1,0
BHR,1990,0,6,18
EGY,1990,0,6,0
ERI,1990,3,2,19
ETH,1990,6,7,20
IDN,1990,5,0,0
IND,1990,0,6,0
JOR,1990,6,7,0
KWT,1990,0,6,21
LBN,1990,6,7,0
LKA,1990,0,6,0
NGA,1990,4,3,22
NPL,1990,0,6,0
PSE,1990,6,7,0
QAT,1990,5,0,23
SAU,1990,6,1,0
SOM,1990,6,7,20
SYR,1990,6,7,24
THA,1990,7,1,0
TUN,1990,3,4,0
YEM,1990,6,1,0
ARM,1990,1,5,1
AUT,1990,3,2,0
BGR,1990,2,2,0
BOL,1990,3,4,0
BRA,1990,3,4,0
CHN,1990,7,1,0
COL,1990,7,1,0
CRI,1990,7,1,0
CUB,1990,7,1,0
CYP,1990,5,0,25
CZE,1990,7,2,0
DOM,1990,7,1,0
DZA,1990,3,4,0
ECU,1990,7,1,0
EST,1990,1,5,1
GTM,1990,7,1,0
HND,1990,7,1,0
HRV,1990,3,2,0
HTI,1990,7,1,0
HUN,1990,3,2,0
IRL,1990,5,0,0
IRN,1990,0,6,0
ISR,1990,3,5,0
JPN,1990,7,1,0
KOR,1990,7,1,0
LAO,1990,7,1,0
LTU,1990,1,5,1
MEX,1990,7,1,0
MNE,1990,3,2,26
NIC,1990,7,1,0
