iso3,country_name,continent,un_region,income_group
ABW,Aruba,Americas,Caribbean,High income
AFG,Afghanistan,Asia,South Asia,Low income
AGO,Angola,Africa,Sub-Saharan Africa,Lower middle income
AIA,Anguilla,Americas,Caribbean,High income
ALB,Albania,Europe,Eastern Europe,Upper middle income
AND,Andorra,Europe,Western Europe,High income
ARE,United Arab Emirates,Asia,Western Asia,High income
ARG,Argentina,Americas,Latin America,Upper middle income
ARM,Armenia,Asia,Western Asia,Upper middle income
ASM,American Samoa,Oceania,Polynesia,Upper middle income
ATG,Antigua and Barbuda,Americas,Caribbean,High income
AUS,Australia,Oceania,Australia/NZ,High income
AUT,Austria,Europe,Western Europe,High income
AZE,Azerbaijan,Asia,Western Asia,Upper middle income
BDI,Burundi,Africa,Sub-Saharan Africa,Low income
BEL,Belgium,Europe,Western Europe,High income
BEN,Benin,Africa,Sub-Saharan Africa,Low income
BES,"Bonaire, Sint Eustatius and Saba",Americas,Caribbean,High income
BFA,Burkina Faso,Africa,Sub-Saharan Africa,Low income
BGD,Bangladesh,Asia,South Asia,Lower middle income
BGR,Bulgaria,Europe,Eastern Europe,Upper middle income
BHR,Bahrain,Asia,Western Asia,High income
BHS,Bahamas,Americas,Caribbean,High income
BIH,Bosnia and Herzegovina,Europe,Eastern Europe,Upper middle income
BLM,Saint Barthélemy,Americas,Caribbean,High income
BLR,Belarus,Europe,Eastern Europe,Upper middle income
BLZ,Belize,Americas,Central America,Lower middle income
BMU,Bermuda,Americas,Northern America,High income
BOL,Bolivia,Americas,Latin America,Lower middle income
BRA,Brazil,Americas,Latin America,Upper middle income
BRB,Barbados,Americas,Caribbean,High income
BRN,Brunei Darussalam,Asia,South-Eastern Asia,High income
BTN,Bhutan,Asia,South Asia,Lower middle income
BWA,Botswana,Africa,Sub-Saharan Africa,Upper middle income
CAF,Central African Republic,Africa,Sub-Saharan Africa,Low income
CAN,Canada,Americas,Northern America,High income
CHE,Switzerland,Europe,Western Europe,High income
CHI,Channel Islands,Europe,Northern Europe,High income
CHL,Chile,Americas,Latin America,High income
CHN,China,Asia,Eastern Asia,Upper middle income
CIV,Côte d'Ivoire,Africa,Sub-Saharan Africa,Lower middle income
CMR,Cameroon,Africa,Sub-Saharan Africa,Lower middle income
COD,DR Congo,Africa,Sub-Saharan Africa,Low income
COG,Congo,Africa,Sub-Saharan Africa,Lower middle income
COK,Cook Islands,Oceania,Polynesia,High income
COL,Colombia,Americas,Latin America,Upper middle income
COM,Comoros,Africa,Sub-Saharan Africa,Low income
CPV,Cabo Verde,Africa,Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,Americas,Latin America,Upper middle income
CUB,Cuba,Americas,Latin America,Upper middle income
CUW,Curaçao,Americas,Caribbean,High income
CYM,Cayman Islands,Americas,Caribbean,High income
CYP,Cyprus,Europe,Western Asia,High income
CZE,Czechia,Europe,Eastern Europe,High income
DEU,Germany,Europe,Western Europe,High income
DJI,Djibouti,Africa,Sub-Saharan Africa,Lower middle income
DMA,Dominica,Americas,Caribbean,Upper middle income
DNK,Denmark,Europe,Northern Europe,High income
DOM,Dominican Republic,Americas,Latin America,Upper middle income
DZA,Algeria,Africa,Northern Africa,Lower middle income
ECU,Ecuador,Americas,Latin America,Upper middle income
EGY,Egypt,Africa,Northern Africa,Lower middle income
ERI,Eritrea,Africa,Sub-Saharan Africa,Low income
ESH,Western Sahara,Africa,Northern Africa,Lower middle income
ESP,Spain,Europe,Southern Europe,High income
EST,Estonia,Europe,Northern Europe,High income
ETH,Ethiopia,Africa,Sub-Saharan Africa,Low income
FIN,Finland,Europe,Northern Europe,High income
FJI,Fiji,Oceania,Melanesia,Upper middle income
FLK,Falkland Islands,Americas,South America,High income
FRA,France,Europe,Western Europe,High income
FRO,Faroe Islands,Europe,Northern Europe,High income
FSM,Micronesia,Oceania,Micronesia,Lower middle income
GAB,Gabon,Africa,Sub-Saharan Africa,Upper middle income
GBR,United Kingdom,Europe,Northern Europe,High income
GEO,Georgia,Asia,Western Asia,Upper middle income
GHA,Ghana,Africa,Sub-Saharan Africa,Lower middle income
GIB,Gibraltar,Europe,Southern Europe,High income
GIN,Guinea,Africa,Sub-Saharan Africa,Low income
GLP,Guadeloupe,Americas,Caribbean,High income
GMB,Gambia,Africa,Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,Low income
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,Upper middle income
GRC,Greece,Europe,Southern Europe,High income
GRD,Grenada,Americas,Caribbean,Upper middle income
GRL,Greenland,Americas,Northern America,High income
GTM,Guatemala,Americas,Latin America,Upper middle income
GUF,French Guiana,Americas,South America,High income
GUM,Guam,Oceania,Micronesia,High income
GUY,Guyana,Americas,Latin America,Upper middle income
HKG,Hong Kong,Asia,Eastern Asia,High income
HND,Honduras,Americas,Latin America,Lower middle income
HRV,Croatia,Europe,Eastern Europe,High income
HTI,Haiti,Americas,Latin America,Low income
HUN,Hungary,Europe,Eastern Europe,High income
IDN,Indonesia,Asia,South-Eastern Asia,Upper middle income
IMN,Isle of Man,Europe,Northern Europe,High income
IND,India,Asia,South Asia,Lower middle income
IRL,Ireland,Europe,Northern Europe,High income
IRN,Iran,Asia,Western Asia,Lower middle income
IRQ,Iraq,Asia,Western Asia,Upper middle income
ISL,Iceland,Europe,Northern Europe,High income
ISR,Israel,Asia,Western Asia,High income
ITA,Italy,Europe,Southern Europe,High income
JAM,Jamaica,Americas,Latin America,Upper middle income
JOR,Jordan,Asia,Western Asia,Upper middle income
JPN,Japan,Asia,Eastern Asia,High income
KAZ,Kazakhstan,Asia,Central Asia,Upper middle income
KEN,Kenya,Africa,Sub-Saharan Africa,Lower middle income
KGZ,Kyrgyzstan,Asia,Central Asia,Lower middle income
KHM,Cambodia,Asia,South-Eastern Asia,Lower middle income
KIR,Kiribati,Oceania,Micronesia,Lower middle income
KNA,Saint Kitts and Nevis,Americas,Latin America,High income
KOR,South Korea,Asia,Eastern Asia,High income
KWT,Kuwait,Asia,Western Asia,High income
LAO,Laos,Asia,South-Eastern Asia,Lower middle income
LBN,Lebanon,Asia,Western Asia,Lower middle income
LBR,Liberia,Africa,Sub-Saharan Africa,Low income
LBY,Libya,Africa,Northern Africa,Upper middle income
LCA,Saint Lucia,Americas,Latin America,Upper middle income
LIE,Liechtenstein,Europe,Western Europe,High income
LKA,Sri Lanka,Asia,South Asia,Lower middle income
LSO,Lesotho,Africa,Sub-Saharan Africa,Lower middle income
LTU,Lithuania,Europe,Northern Europe,High income
LUX,Luxembourg,Europe,Western Europe,High income
LVA,Latvia,Europe,Northern Europe,High income
MAC,Macao,Asia,Eastern Asia,High income
MAF,Saint Martin,Americas,Caribbean,High income
MAR,Morocco,Africa,Northern Africa,Lower middle income
MCO,Monaco,Europe,Western Europe,High income
MDA,Moldova,Europe,Eastern Europe,Lower middle income
MDG,Madagascar,Africa,Sub-Saharan Africa,Low income
MDV,Maldives,Asia,South Asia,Upper middle income
MEX,Mexico,Americas,Latin America,Upper middle income
MHL,Marshall Islands,Oceania,Micronesia,Upper middle income
MKD,North Macedonia,Europe,Eastern Europe,Upper middle income
MLI,Mali,Africa,Sub-Saharan Africa,Low income
MLT,Malta,Europe,Southern Europe,High income
MMR,Myanmar,Asia,South-Eastern Asia,Lower middle income
MNE,Montenegro,Europe,Eastern Europe,Upper middle income
MNG,Mongolia,Asia,Eastern Asia,Lower middle income
MNP,Northern Mariana Islands,Oceania,Micronesia,High income
MOZ,Mozambique,Africa,Sub-Saharan Africa,Low income
MRT,Mauritania,Africa,Sub-Saharan Africa,Lower middle income
MSR,Montserrat,Americas,Caribbean,Upper middle income
MTQ,Martinique,Americas,Caribbean,High income
MUS,Mauritius,Africa,Sub-Saharan Africa,High income
MWI,Malawi,Africa,Sub-Saharan Africa,Low income
MYS,Malaysia,Asia,South-Eastern Asia,Upper middle income
MYT,Mayotte,Africa,Sub-Saharan Africa,Upper middle income
NAM,Namibia,Africa,Sub-Saharan Africa,Upper middle income
NCL,New Caledonia,Oceania,Melanesia,High income
NER,Niger,Africa,Sub-Saharan Africa,Low income
NGA,Nigeria,Africa,Sub-Saharan Africa,Lower middle income
NIC,Nicaragua,Americas,Latin America,Lower middle income
