origin_iso3,dest_iso3,year,weight,origin_in_degree_centrality,origin_out_degree_centrality,origin_in_strength,origin_out_strength,origin_betweenness_centrality,origin_pagerank,origin_country_name,origin_continent,origin_un_region,origin_income_group,origin_louvain_community,origin_leiden_community,origin_gn_community,origin_dominant_region,origin_community_label,origin_boundary_score,origin_is_boundary_node,origin_gdp_per_capita,origin_population,origin_unemployment,origin_conflict_intensity,origin_education_index,origin_climate_vulnerability,origin_visa_openness_index,dest_in_degree_centrality,dest_out_degree_centrality,dest_in_strength,dest_out_strength,dest_betweenness_centrality,dest_pagerank,dest_country_name,dest_continent,dest_un_region,dest_income_group,dest_louvain_community,dest_leiden_community,dest_gn_community,dest_dominant_region,dest_community_label,dest_boundary_score,dest_is_boundary_node,dest_gdp_per_capita,dest_population,dest_unemployment,dest_conflict_intensity,dest_education_index,dest_climate_vulnerability,dest_visa_openness_index,log_weight,same_continent,same_income_group,same_community
RUS,UKR,1990,2867854.0,0.1810344827586207,0.4008620689655172,5840598.0,7110543.0,0.1507987199582027,0.0195411458645573,Russia,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,3494.06323242188,147969406.0,5.11,192.0,9.652386365,0.3503,25.2,0.1293103448275862,0.3017241379310345,3688195.0,2844253.0,0.0424766756232273,0.0102383707260531,Ukraine,Europe,Eastern Europe,Lower middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,1563.63415527344,52054092.0,1.9,0.0,9.276183691,0.4262,23.0,14.869074921543499,1,0,1
MEX,USA,1990,1927762.0,0.3318965517241379,0.2198275862068965,189668.0,1973414.0,0.0295206374085684,0.0180864520804853,Mexico,Americas,Latin America,Upper middle income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,3154.46920349038,82820170.0,3.145,0.0,5.953360081,0.4074,70.6,0.2543103448275862,0.6810344827586207,10485984.0,870689.0,0.5535445588893865,0.1258515239144536,United States,Americas,Northern America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,23888.6000088133,249623000.0,6.8,0.0,12.98377037,0.3172,93.6,14.471870821285489,1,0,1
BGD,IND,1990,1924650.0,0.0732758620689655,0.2241379310344827,356914.0,2095726.0,0.0617585647111509,0.0039086936499799,Bangladesh,Asia,South Asia,Lower middle income,2,6,2,South Asia,Cluster 2: South Asia,0.8571428571428571,True,283.053737055234,111633717.0,2.2,45.0,3.294752292,0.5872,20.2,0.1637931034482758,0.5043103448275862,3425966.0,2570867.0,0.1087785490371697,0.0159489196212209,India,Asia,South Asia,Lower middle income,2,6,2,South Asia,Cluster 2: South Asia,0.8571428571428571,True,371.085936203765,864972221.0,7.641,2396.0,2.78157628,0.5537,18.0,14.470255210566126,1,1,1
AFG,IRN,1990,1770639.0,0.0129310344827586,0.2198275862068965,22072.0,3480708.0,0.0133473279593969,0.0007405747809921,Afghanistan,Asia,South Asia,Low income,2,6,2,South Asia,Cluster 2: South Asia,1.0,True,174.930991430166,12045660.0,7.972,1478.0,0.871961963,0.6166,15.0,0.0301724137931034,0.25,1918473.0,265727.0,0.0067606172563069,0.0014216598792825,Iran,Asia,Western Asia,Lower middle income,2,6,2,South Asia,Cluster 2: South Asia,1.0,True,2137.94222739877,58380092.0,11.1,31.0,5.738566289,0.4035,15.0,14.386851621115927,1,0,1
UKR,RUS,1990,1681629.0,0.1293103448275862,0.3017241379310345,3688195.0,2844253.0,0.0424766756232273,0.0102383707260531,Ukraine,Europe,Eastern Europe,Lower middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,1563.63415527344,52054092.0,1.9,0.0,9.276183691,0.4262,23.0,0.1810344827586207,0.4008620689655172,5840598.0,7110543.0,0.1507987199582027,0.0195411458645573,Russia,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,3494.06323242188,147969406.0,5.11,192.0,9.652386365,0.3503,25.2,14.335274119097926,1,0,1
AFG,PAK,1990,1651680.0,0.0129310344827586,0.2198275862068965,22072.0,3480708.0,0.0133473279593969,0.0007405747809921,Afghanistan,Asia,South Asia,Low income,2,6,2,South Asia,Cluster 2: South Asia,1.0,True,174.930991430166,12045660.0,7.972,1478.0,0.871961963,0.6166,15.0,0.0344827586206896,0.3275862068965517,2941941.0,1189760.0,0.0111082810867293,0.0077351419092701,Pakistan,Asia,South Asia,Lower middle income,2,6,2,South Asia,Cluster 2: South Asia,1.0,True,344.45547384189,116155576.0,0.596,98.0,2.291861259,0.559,15.0,14.317304115143388,1,0,1
IND,PAK,1990,1285346.0,0.1637931034482758,0.5043103448275862,3425966.0,2570867.0,0.1087785490371697,0.0159489196212209,India,Asia,South Asia,Lower middle income,2,6,2,South Asia,Cluster 2: South Asia,0.8571428571428571,True,371.085936203765,864972221.0,7.641,2396.0,2.78157628,0.5537,18.0,0.0344827586206896,0.3275862068965517,2941941.0,1189760.0,0.0111082810867293,0.0077351419092701,Pakistan,Asia,South Asia,Lower middle income,2,6,2,South Asia,Cluster 2: South Asia,1.0,True,344.45547384189,116155576.0,0.596,98.0,2.291861259,0.559,15.0,14.066539278768019,1,1,1
RUS,KAZ,1990,1214156.0,0.1810344827586207,0.4008620689655172,5840598.0,7110543.0,0.1507987199582027,0.0195411458645573,Russia,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,3494.06323242188,147969406.0,5.11,192.0,9.652386365,0.3503,25.2,0.1163793103448275,0.146551724137931,1603941.0,1652378.0,0.0066954022988505,0.0051904745036302,Kazakhstan,Asia,Central Asia,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,1570.00883112591,17154054.0,0.9,0.0,7.497319287,0.3609,20.2,14.009560566786835,0,1,1
KAZ,RUS,1990,1196673.0,0.1163793103448275,0.146551724137931,1603941.0,1652378.0,0.0066954022988505,0.0051904745036302,Kazakhstan,Asia,Central Asia,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,1570.00883112591,17154054.0,0.9,0.0,7.497319287,0.3609,20.2,0.1810344827586207,0.4008620689655172,5840598.0,7110543.0,0.1507987199582027,0.0195411458645573,Russia,Europe,Eastern Europe,Upper middle income,5,5,2,Central Asia & Western Asia,Cluster 5: Central Asia & Western Asia,0.5714285714285714,True,3494.06323242188,147969406.0,5.11,192.0,9.652386365,0.3503,25.2,13.99505659991128,0,1,1
DEU,USA,1990,892151.0,0.1120689655172413,0.5258620689655172,2380955.0,2212649.0,0.3169446932377967,0.0197098294352969,Germany,Europe,Western Europe,High income,3,2,2,Pan-Europe,Cluster 3: Pan-Europe,1.0,True,22385.6778250275,79433029.0,5.316,0.0,10.3637846,0.3107,92.9,0.2543103448275862,0.6810344827586207,10485984.0,870689.0,0.5535445588893865,0.1258515239144536,United States,Americas,Northern America,High income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,23888.6000088133,249623000.0,6.8,0.0,12.98377037,0.3172,93.6,13.701391800632548,0,1,0
