origin_iso3,dest_iso3,year,weight
RUS,UKR,1990,2867854.0
MEX,USA,1990,1927762.0
BGD,IND,1990,1924650.0
AFG,IRN,1990,1770639.0
UKR,RUS,1990,1681629.0
AFG,PAK,1990,1651680.0
IND,PAK,1990,1285346.0
RUS,KAZ,1990,1214156.0
KAZ,RUS,1990,1196673.0
DEU,USA,1990,892151.0
PAK,IND,1990,860500.0
RUS,UZB,1990,718811.0
DZA,FRA,1990,635652.0
POL,DEU,1990,554578.0
GBR,AUS,1990,553376.0
MOZ,MWI,1990,548271.0
PHL,USA,1990,540544.0
CAN,USA,1990,510372.0
KOR,USA,1990,478396.0
AZE,RUS,1990,477127.0
GBR,USA,1990,454844.0
UZB,RUS,1990,453721.0
TUR,DEU,1990,449417.0
RUS,BLR,1990,441924.0
PSE,JOR,1990,432550.0
BLR,RUS,1990,412194.0
GBR,CAN,1990,392283.0
CUB,USA,1990,380296.0
ITA,USA,1990,371270.0
IRL,GBR,1990,343928.0
KOR,JPN,1990,334706.0
GEO,RUS,1990,334545.0
MAR,FRA,1990,289847.0
PRT,FRA,1990,287668.0
NPL,IND,1990,275656.0
JPN,USA,1990,272641.0
ARM,RUS,1990,272605.0
UKR,POL,1990,267875.0
CHN,USA,1990,267564.0
IND,NPL,1990,267540.0
RUS,LVA,1990,261663.0
VNM,USA,1990,260427.0
ITA,FRA,1990,256369.0
AGO,COD,1990,242957.0
BGR,TUR,1990,237447.0
SLV,USA,1990,234608.0
BLR,UKR,1990,230571.0
IDN,SAU,1990,227876.0
LKA,IND,1990,226676.0
POL,USA,1990,225457.0
ETH,SOM,1990,225139.0
ESP,FRA,1990,222182.0
BIH,SRB,1990,221887.0
KGZ,RUS,1990,220840.0
TJK,RUS,1990,216308.0
MOZ,ZWE,1990,214238.0
DOM,USA,1990,212710.0
IND,GBR,1990,208085.0
HRV,SRB,1990,206292.0
RUS,TJK,1990,204299.0
RUS,KGZ,1990,203912.0
IND,USA,1990,203843.0
CZE,DEU,1990,199860.0
SOM,ETH,1990,199241.0
JAM,USA,1990,198079.0
KAZ,UKR,1990,189137.0
PHL,SAU,1990,189079.0
LBR,GIN,1990,174919.0
ROU,DEU,1990,173397.0
PRY,ARG,1990,170470.0
ITA,CAN,1990,167430.0
ITA,ARG,1990,166996.0
BIH,HRV,1990,163974.0
RUS,USA,1990,163640.0
TUN,FRA,1990,163180.0
RUS,EST,1990,162473.0
EGY,SAU,1990,161881.0
COL,USA,1990,161553.0
SVK,CZE,1990,150740.0
MDA,RUS,1990,149123.0
USA,CAN,1990,143942.0
IRQ,IRN,1990,141469.0
ITA,DEU,1990,137558.0
UKR,BLR,1990,136498.0
UKR,MDA,1990,135595.0
SLV,GTM,1990,132597.0
ESP,ARG,1990,130189.0
RUS,MDA,1990,129238.0
RUS,DEU,1990,128663.0
NZL,AUS,1990,128594.0
DEU,GBR,1990,127352.0
DEU,CHE,1990,126726.0
PRT,BRA,1990,126093.0
