iso3,year,in_degree_centrality,out_degree_centrality,in_strength,out_strength,betweenness_centrality,pagerank,country_name,continent,un_region,income_group,louvain_community,leiden_community,gn_community,dominant_region,community_label,boundary_score,is_boundary_node,gdp_per_capita,population,unemployment,conflict_intensity,education_index,climate_vulnerability,visa_openness_index
BES,1990,0.0,0.0344827586206896,0.0,1631.0,0.0,0.0006437768240343,"Bonaire, Sint Eustatius and Saba",Americas,Caribbean,High income,0,1,0,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.5714285714285714,True,,,,,,,
ABW,1990,0.0948275862068965,0.0603448275862068,6322.0,2585.0,0.0,0.0016393052707461,Aruba,Americas,Caribbean,High income,0,1,1,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.5714285714285714,True,12187.5363611898,62753.0,,0.0,,,
CHN,1990,0.418103448275862,0.5862068965517241,187067.0,1890424.0,0.0924530713539334,0.0056111021276406,China,Asia,Eastern Asia,Upper middle income,1,0,2,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.7142857142857143,True,318.50335359039,1135185000.0,2.37,0.0,4.143789768,0.4157,15.0
COL,1990,0.2327586206896551,0.2284482758620689,47178.0,539538.0,0.0134125429168532,0.0036226362694324,Colombia,Americas,Latin America,Upper middle income,0,1,3,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.7142857142857143,True,1474.8455285342,32440069.0,10.12,501.0,6.340998417,0.4442,23.0
CUW,1990,0.1853448275862069,0.0517241379310344,24672.0,1529.0,0.0148690103000447,0.0042792224261096,Curaçao,Americas,Caribbean,High income,0,1,4,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.5714285714285714,True,15841.2612359949,145400.0,,0.0,,,
DMA,1990,0.1422413793103448,0.1206896551724137,985.0,10537.0,0.0042172339155097,0.00078260780967,Dominica,Americas,Caribbean,Upper middle income,1,0,5,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.8571428571428571,True,2892.9815966454,69627.0,,0.0,7.84770598,0.478,37.4
DOM,1990,0.3793103448275862,0.2155172413793103,108940.0,273427.0,0.0134342812360053,0.004302319827745,Dominican Republic,Americas,Latin America,Upper middle income,0,1,6,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.7142857142857143,True,989.163941207659,7151166.0,6.863,0.0,5.26625239,0.4463,18.0
GRD,1990,0.0646551724137931,0.0905172413793103,1413.0,13286.0,0.0,0.0007276065328544,Grenada,Americas,Caribbean,Upper middle income,1,0,7,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.7142857142857143,True,2782.18396873619,99957.0,,0.0,9.635296401,0.4161,43.2
GUY,1990,0.0689655172413793,0.1594827586206896,1703.0,115269.0,4.3476638304224514e-05,0.0007209395234492,Guyana,Americas,Latin America,Upper middle income,0,1,8,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.8571428571428571,True,528.851095342994,749894.0,12.092,0.0,5.273218506,0.4866,38.2
HTI,1990,0.0905172413793103,0.1767241379310344,7859.0,231253.0,0.0128473466188983,0.0009438279933768,Haiti,Americas,Latin America,Low income,0,1,6,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.7142857142857143,True,451.720249689216,6854441.0,7.329,0.0,2.680190065,0.5309,15.8
IND,1990,0.1637931034482758,0.5043103448275862,3425966.0,2570867.0,0.1087785490371697,0.0159489196212209,India,Asia,South Asia,Lower middle income,2,6,2,South Asia,Cluster 2: South Asia,0.8571428571428571,True,371.085936203765,864972221.0,7.641,2396.0,2.78157628,0.5537,18.0
JAM,1990,0.0905172413793103,0.1982758620689655,9324.0,339896.0,0.0141299074488729,0.0016274864090672,Jamaica,Americas,Latin America,Upper middle income,1,0,9,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.7142857142857143,True,1929.59891905857,2379877.0,6.233,0.0,6.683423858,0.4554,41.0
NIC,1990,0.2284482758620689,0.1508620689655172,19971.0,228917.0,0.0098257202567547,0.0016083338830862,Nicaragua,Americas,Latin America,Lower middle income,1,0,10,Latin America & Sub-Saharan Africa,Cluster 1: Latin America & Sub-Saharan Africa,0.5714285714285714,True,242.508390600822,4162559.0,7.909,39.0,4.09,0.4933,54.0
NLD,1990,0.1724137931034483,0.3577586206896552,551619.0,239611.0,0.0119125988953575,0.0061917846471885,Netherlands,Europe,Western Europe,High income,3,2,2,Pan-Europe,Cluster 3: Pan-Europe,0.7142857142857143,True,21322.1944802703,14951510.0,7.285,0.0,11.09854878,0.3197,90.7
PER,1990,0.2241379310344827,0.2284482758620689,18219.0,157780.0,0.0,0.0013980828214425,Peru,Americas,Latin America,Upper middle income,0,1,11,Latin America & Sub-Saharan Africa,Cluster 0: Latin America & Sub-Saharan Africa,0.7142857142857143,True,1199.66666756615,22014771.0,4.926,1099.0,7.781378166,0.4563,29.5
