model,dependent,predictor,coefficient,std_error,t_stat,p_value,ci_lower_95,ci_upper_95,n_obs,r_squared,adj_r2,aic,bic,significant_95,year
year_1990,log_in_strength,const,-1.7123392644814448,2.3138619046740327,-0.7400352030613824,0.46031154414791586,-6.280331171026871,2.8556526420639816,176.0,0.5632084583335648,0.54500881076413,603.8104995647429,629.1743715250482,False,1990
year_1990,log_in_strength,log_population,0.7297497003245925,0.06150092008909747,11.865671265850839,5.6229191161838e-24,0.6083354946433458,0.8511639060058392,176.0,0.5632084583335648,0.54500881076413,603.8104995647429,629.1743715250482,True,1990
year_1990,log_in_strength,log_gdp_per_capita,0.4030504432870402,0.12511550776558966,3.221426747851081,0.001531844456049351,0.1560492606745241,0.6500516258995563,176.0,0.5632084583335648,0.54500881076413,603.8104995647429,629.1743715250482,True,1990
year_1990,log_in_strength,conflict_intensity,2.1491802764274435e-05,2.6935739782528238e-05,0.7978916836067376,0.42605971337379145,-3.168433582673467e-05,7.466794135528354e-05,176.0,0.5632084583335648,0.54500881076413,603.8104995647429,629.1743715250482,False,1990
year_1990,log_in_strength,unemployment,-0.013714629913423669,0.017400889729888007,-0.7881568199278473,0.43171566237999204,-0.04806720873079076,0.020637948903943423,176.0,0.5632084583335648,0.54500881076413,603.8104995647429,629.1743715250482,False,1990
year_1990,log_in_strength,education_index,0.004391446061185661,0.05413844773031457,0.08111510849112674,0.9354469632384231,-0.10248787571919032,0.11127076784156165,176.0,0.5632084583335648,0.54500881076413,603.8104995647429,629.1743715250482,False,1990
year_1990,log_in_strength,visa_openness_index,-0.006486872940607433,0.005635739954833605,-1.1510241765225233,0.2513578611248144,-0.017612867300543667,0.0046391214193288,176.0,0.5632084583335648,0.54500881076413,603.8104995647429,629.1743715250482,False,1990
year_1990,log_in_strength,climate_vulnerability,-2.4041643542242053,2.204869193638606,-1.0903886548737662,0.2771034372294895,-6.756984464701529,1.9486557562531184,176.0,0.5632084583335648,0.54500881076413,603.8104995647429,629.1743715250482,False,1990
year_1995,log_in_strength,const,0.39615562533246873,2.272364270812979,0.17433632029020457,0.8618110649194238,-4.089912266977207,4.882223517642144,176.0,0.5668694835385559,0.5488223786859957,595.5279046231931,620.8917765834983,False,1995
year_1995,log_in_strength,log_population,0.7141531624782536,0.05932167616956429,12.038654478287627,1.8254882771605347e-24,0.5970411878708264,0.8312651370856807,176.0,0.5668694835385559,0.5488223786859957,595.5279046231931,620.8917765834983,True,1995
year_1995,log_in_strength,log_gdp_per_capita,0.20077136824273878,0.12447905989491177,1.6128927099243424,0.10864470229679585,-0.044973348408553826,0.4465160848940314,176.0,0.5668694835385559,0.5488223786859957,595.5279046231931,620.8917765834983,False,1995
year_1995,log_in_strength,conflict_intensity,-0.00010016860115182643,0.00010841727720164115,-0.923917328836129,0.35685446983952174,-0.00031420438426679043,0.00011386718196313756,176.0,0.5668694835385559,0.5488223786859957,595.5279046231931,620.8917765834983,False,1995
year_1995,log_in_strength,unemployment,-0.002996182532693261,0.016257299142222372,-0.1842976810897067,0.8540022065057501,-0.03509110174716626,0.02909873668177974,176.0,0.5668694835385559,0.5488223786859957,595.5279046231931,620.8917765834983,False,1995
year_1995,log_in_strength,education_index,0.03016052950552528,0.05341396032210541,0.5646563056483067,0.5730607139734538,-0.07528851996239835,0.1356095789734489,176.0,0.5668694835385559,0.5488223786859957,595.5279046231931,620.8917765834983,False,1995
year_1995,log_in_strength,visa_openness_index,-0.003141047000490867,0.005412228231256059,-0.5803611500252455,0.5624487197090966,-0.01382578782569462,0.007543693824712885,176.0,0.5668694835385559,0.5488223786859957,595.5279046231931,620.8917765834983,False,1995
