iso3,year,gdp_per_capita,population,unemployment,conflict_intensity,education_index,climate_vulnerability
ABW,1990,12187.5363611898,62753.0,,0.0,,
ABW,1995,16548.7173868987,79805.0,,0.0,,
ABW,2000,20681.0230269625,90588.0,,0.0,,
ABW,2005,24171.8371325422,97635.0,,0.0,,
ABW,2010,24093.1401510626,101838.0,,0.0,,
ABW,2015,27458.2201537506,107906.0,,0.0,,
ABW,2020,22759.8071750722,108587.0,,0.0,,
AFE,1990,822.402998906313,311748681.0,,0.0,,
AFE,1995,766.522931015445,356580375.0,7.77389399169686,0.0,,
AFE,2000,706.727260967009,406156661.0,7.66876829683374,0.0,,
AFE,2005,1126.2973233912,463076637.0,7.10041371887931,0.0,,
AFE,2010,1628.90524793139,530308387.0,7.33948885318777,0.0,,
AFE,2015,1498.8752400759,607123269.0,6.9309412585873,0.0,,
AFE,2020,1351.59166910879,694446100.0,7.97430164130982,0.0,,
AFE,2025,,,7.53923442390472,0.0,,
AFG,1990,,12045660.0,,2.0,0.871961963,
AFG,1995,,17065836.0,7.868,2.0,1.08848943,0.612511069387945
AFG,2000,174.930991430166,20130327.0,7.897,2.0,1.264052241,0.608398207191364
AFG,2005,254.184249149336,24404567.0,7.878,2.0,1.521544365,0.602123845251527
AFG,2010,560.621505463146,28284089.0,7.809,2.0,1.890226268,0.583799555533243
AFG,2015,565.569730408751,33831764.0,9.032,2.0,2.124310017,0.583232874822956
AFG,2020,510.787063366811,39068979.0,11.71,2.0,2.841609995,0.582315266487911
AFG,2025,,,13.351,0.0,,
AFW,1990,593.024667183284,209566031.0,,0.0,,
AFW,1995,866.731606283751,239801875.0,4.39276887843604,0.0,,
AFW,2000,518.969226054683,274968446.0,4.53084348194886,0.0,,
AFW,2005,999.770023047319,316588476.0,4.09646467682858,0.0,,
AFW,2010,1662.63365844147,364358270.0,3.98952016701337,0.0,,
AFW,2015,1860.72768628324,418127845.0,4.17014290578818,0.0,,
AFW,2020,2030.86165860293,474569351.0,4.79531801163781,0.0,,
AFW,2025,,,3.19055229252225,0.0,,
AGO,1990,965.866840464665,11626360.0,,0.0,,
AGO,1995,404.29481849612,13699778.0,16.978,1.0,,0.493885446100005
