dest_iso3,origin_iso3,year,migrant_stock,is_extrapolated
BDI,KEN,1990,82.0,False
BDI,RWA,1990,113171.0,False
BDI,UGA,1990,935.0,False
BDI,TZA,1990,6074.0,False
BDI,COD,1990,18691.0,False
BDI,BEL,1990,327.0,False
BDI,FRA,1990,164.0,False
COM,KEN,1990,47.0,False
COM,MDG,1990,5803.0,False
COM,TZA,1990,84.0,False
COM,FRA,1990,233.0,False
DJI,ETH,1990,7494.0,False
DJI,SOM,1990,47098.0,False
DJI,YEM,1990,150.0,False
ERI,BDI,1990,312.0,False
ERI,COM,1990,21.0,False
ERI,ETH,1990,616.0,False
ERI,KEN,1990,62.0,False
ERI,MWI,1990,75.0,False
ERI,MOZ,1990,1724.0,False
ERI,RWA,1990,451.0,False
ERI,SOM,1990,697.0,False
ERI,UGA,1990,66.0,False
ERI,TZA,1990,105.0,False
ERI,ZMB,1990,34.0,False
ERI,ZWE,1990,26.0,False
ERI,AGO,1990,109.0,False
ERI,COD,1990,172.0,False
ERI,ZAF,1990,37.0,False
ERI,CHN,1990,6.0,False
ERI,IND,1990,17.0,False
ERI,GBR,1990,20.0,False
ERI,FRA,1990,56.0,False
ETH,DJI,1990,452.0,False
ETH,ERI,1990,29808.0,False
ETH,KEN,1990,88.0,False
ETH,SOM,1990,199241.0,False
ETH,CHN,1990,162.0,False
KEN,BDI,1990,44.0,False
KEN,ETH,1990,11402.0,False
KEN,MOZ,1990,463.0,False
KEN,RWA,1990,1719.0,False
KEN,SOM,1990,3493.0,False
KEN,UGA,1990,41264.0,False
KEN,TZA,1990,30682.0,False
KEN,COD,1990,178.0,False
KEN,NAM,1990,53.0,False
KEN,ZAF,1990,87.0,False
MDG,COM,1990,3614.0,False
MDG,CHN,1990,654.0,False
MDG,IND,1990,523.0,False
MDG,FRA,1990,2947.0,False
MWI,BDI,1990,447.0,False
MWI,MOZ,1990,548271.0,False
MWI,RWA,1990,1428.0,False
MWI,SOM,1990,133.0,False
MWI,TZA,1990,2161.0,False
MWI,ZMB,1990,4561.0,False
MWI,ZWE,1990,2727.0,False
MWI,COG,1990,334.0,False
MWI,COD,1990,850.0,False
MWI,ZAF,1990,881.0,False
MWI,IND,1990,774.0,False
MWI,GBR,1990,370.0,False
MUS,MDG,1990,34.0,False
MUS,ZAF,1990,112.0,False
MUS,CHN,1990,76.0,False
MUS,JPN,1990,11.0,False
MUS,BGD,1990,50.0,False
MUS,IND,1990,263.0,False
MUS,LKA,1990,7.0,False
MUS,MYS,1990,21.0,False
MUS,RUS,1990,25.0,False
MUS,IRL,1990,16.0,False
MUS,GBR,1990,390.0,False
MUS,ITA,1990,21.0,False
MUS,ESP,1990,5.0,False
MUS,BEL,1990,16.0,False
MUS,FRA,1990,414.0,False
MUS,DEU,1990,24.0,False
MUS,CHE,1990,22.0,False
MUS,CAN,1990,23.0,False
MUS,USA,1990,21.0,False
MOZ,BDI,1990,281.0,False
MOZ,KEN,1990,4256.0,False
MOZ,MWI,1990,10351.0,False
MOZ,TZA,1990,1179.0,False
MOZ,ZMB,1990,914.0,False
MOZ,ZWE,1990,16816.0,False
MOZ,AGO,1990,6596.0,False
MOZ,COD,1990,1061.0,False
MOZ,LSO,1990,1455.0,False
MOZ,ZAF,1990,3331.0,False
MOZ,CPV,1990,1090.0,False
MOZ,NGA,1990,928.0,False
MOZ,IND,1990,304.0,False
MOZ,PAK,1990,175.0,False
MOZ,PRT,1990,532.0,False
RWA,BDI,1990,12355.0,False
RWA,KEN,1990,400.0,False
RWA,UGA,1990,16424.0,False
RWA,TZA,1990,7878.0,False
RWA,COD,1990,31829.0,False
SOM,ETH,1990,225139.0,False
UGA,BDI,1990,24889.0,False
UGA,KEN,1990,11496.0,False
UGA,RWA,1990,125867.0,False
UGA,SOM,1990,469.0,False
UGA,TZA,1990,27334.0,False
UGA,COD,1990,24002.0,False
UGA,GBR,1990,257.0,False
UGA,CAN,1990,72.0,False
UGA,USA,1990,131.0,False
UGA,AUS,1990,74.0,False
TZA,BDI,1990,117918.0,False
TZA,COM,1990,137.0,False
TZA,KEN,1990,19211.0,False
TZA,MWI,1990,3305.0,False
TZA,MUS,1990,43.0,False
TZA,MOZ,1990,72912.0,False
TZA,RWA,1990,33591.0,False
TZA,SOM,1990,186.0,False
TZA,UGA,1990,9408.0,False
TZA,ZMB,1990,9839.0,False
TZA,ZWE,1990,196.0,False
TZA,AGO,1990,290.0,False
TZA,COG,1990,7383.0,False
TZA,COD,1990,10142.0,False
TZA,BWA,1990,26.0,False
TZA,SWZ,1990,17.0,False
TZA,LSO,1990,26.0,False
TZA,NAM,1990,146.0,False
TZA,ZAF,1990,161.0,False
TZA,IND,1990,2137.0,False
TZA,PAK,1990,170.0,False
TZA,GBR,1990,292.0,False
TZA,ITA,1990,153.0,False
TZA,DEU,1990,257.0,False
TZA,CAN,1990,75.0,False
TZA,USA,1990,346.0,False
ZMB,KEN,1990,157.0,False
ZMB,MWI,1990,6632.0,False
ZMB,MOZ,1990,20764.0,False
ZMB,UGA,1990,135.0,False
ZMB,TZA,1990,3051.0,False
ZMB,ZWE,1990,17995.0,False
ZMB,AGO,1990,61728.0,False
ZMB,CMR,1990,2.0,False
ZMB,COG,1990,64.0,False
ZMB,COD,1990,13176.0,False
ZMB,EGY,1990,101.0,False
ZMB,BWA,1990,294.0,False
ZMB,NAM,1990,1087.0,False
ZMB,ZAF,1990,3088.0,False
ZMB,GHA,1990,144.0,False
ZMB,MLI,1990,54.0,False
ZMB,NGA,1990,47.0,False
ZMB,SEN,1990,16.0,False
ZMB,CHN,1990,28.0,False
ZMB,JPN,1990,47.0,False
ZMB,IND,1990,2129.0,False
ZMB,GBR,1990,897.0,False
ZMB,FRA,1990,24.0,False
ZMB,DEU,1990,138.0,False
ZMB,CAN,1990,120.0,False
ZMB,USA,1990,220.0,False
ZMB,AUS,1990,42.0,False
ZWE,MWI,1990,29478.0,False
ZWE,MOZ,1990,214238.0,False
ZWE,ZMB,1990,7715.0,False
ZWE,BWA,1990,1264.0,False
ZWE,ZAF,1990,4918.0,False
ZWE,GBR,1990,8217.0,False
AGO,MOZ,1990,44.0,False
AGO,RWA,1990,24.0,False
AGO,ZMB,1990,69.0,False
AGO,TCD,1990,6.0,False
AGO,COG,1990,220.0,False
AGO,COD,1990,5767.0,False
AGO,STP,1990,1503.0,False
AGO,NAM,1990,163.0,False
AGO,ZAF,1990,1154.0,False
AGO,CPV,1990,1649.0,False
AGO,GIN,1990,68.0,False
AGO,PRT,1990,1919.0,False
CMR,TCD,1990,48377.0,False
CMR,NGA,1990,44537.0,False
CMR,FRA,1990,5431.0,False
CAF,TCD,1990,4571.0,False
CAF,COD,1990,6134.0,False
CAF,STP,1990,47.0,False
CAF,EGY,1990,21.0,False
CAF,ZAF,1990,29.0,False
CAF,MLI,1990,169.0,False
CAF,TGO,1990,2.0,False
CAF,CYP,1990,2.0,False
CAF,TUR,1990,5.0,False
CAF,RUS,1990,82.0,False
CAF,IRL,1990,1.0,False
CAF,SWE,1990,5.0,False
CAF,ITA,1990,5.0,False
CAF,SVN,1990,7.0,False
CAF,AUT,1990,7.0,False
CAF,FRA,1990,5141.0,False
CAF,NLD,1990,9.0,False
CAF,CHE,1990,83.0,False
CAF,CAN,1990,10.0,False
CAF,USA,1990,64.0,False
TCD,CMR,1990,14261.0,False
TCD,CAF,1990,3712.0,False
TCD,COG,1990,329.0,False
TCD,COD,1990,45.0,False
TCD,GAB,1990,134.0,False
TCD,LBY,1990,504.0,False
TCD,NER,1990,1203.0,False
TCD,NGA,1990,6821.0,False
TCD,FRA,1990,408.0,False
COG,AGO,1990,5427.0,False
COG,CMR,1990,1428.0,False
COG,CAF,1990,4981.0,False
COG,TCD,1990,1136.0,False
COG,COD,1990,36580.0,False
COG,GNQ,1990,225.0,False
COG,GAB,1990,505.0,False
COG,BEN,1990,2273.0,False
COG,MLI,1990,2219.0,False
COG,MRT,1990,226.0,False
COG,SEN,1990,885.0,False
COG,TGO,1990,409.0,False
COG,CHN,1990,23.0,False
COG,LBN,1990,138.0,False
COG,RUS,1990,486.0,False
COG,PRT,1990,190.0,False
COG,FRA,1990,4078.0,False
COG,DEU,1990,97.0,False
COG,CUB,1990,115.0,False
COG,USA,1990,21.0,False
COD,BDI,1990,10478.0,False
COD,RWA,1990,11914.0,False
COD,UGA,1990,9552.0,False
COD,AGO,1990,242957.0,False
COD,COG,1990,1824.0,False
GNQ,CMR,1990,69.0,False
GNQ,GAB,1990,29.0,False
GNQ,STP,1990,152.0,False
GNQ,NGA,1990,43.0,False
GNQ,ESP,1990,135.0,False
GNQ,FRA,1990,643.0,False
GAB,BDI,1990,21.0,False
GAB,RWA,1990,32.0,False
GAB,AGO,1990,140.0,False
GAB,CMR,1990,7896.0,False
GAB,TCD,1990,557.0,False
GAB,COG,1990,2707.0,False
GAB,COD,1990,1271.0,False
GAB,GNQ,1990,13665.0,False
GAB,STP,1990,1072.0,False
GAB,DZA,1990,14.0,False
GAB,MAR,1990,112.0,False
GAB,TUN,1990,31.0,False
GAB,BEN,1990,7999.0,False
GAB,BFA,1990,862.0,False
GAB,GHA,1990,290.0,False
GAB,GIN,1990,403.0,False
GAB,MLI,1990,6136.0,False
GAB,NGA,1990,2035.0,False
GAB,SEN,1990,1925.0,False
GAB,TGO,1990,3590.0,False
GAB,CHN,1990,31.0,False
GAB,PRK,1990,20.0,False
GAB,JPN,1990,5.0,False
GAB,KOR,1990,23.0,False
GAB,ISR,1990,2.0,False
GAB,LBN,1990,237.0,False
GAB,SYR,1990,4.0,False
GAB,BEL,1990,70.0,False
GAB,FRA,1990,2163.0,False
GAB,DEU,1990,12.0,False
GAB,CAN,1990,41.0,False
GAB,USA,1990,78.0,False
STP,MOZ,1990,27.0,False
STP,AGO,1990,265.0,False
STP,GNQ,1990,183.0,False
STP,GAB,1990,2.0,False
STP,CPV,1990,1995.0,False
STP,PRT,1990,95.0,False
DZA,SOM,1990,473.0,False
DZA,LBY,1990,859.0,False
DZA,IDN,1990,191.0,False
DZA,MYS,1990,581.0,False
DZA,IRQ,1990,563.0,False
DZA,JOR,1990,1050.0,False
DZA,KWT,1990,579.0,False
DZA,LBN,1990,844.0,False
DZA,SAU,1990,1115.0,False
DZA,PSE,1990,16984.0,False
DZA,SYR,1990,1584.0,False
DZA,YEM,1990,1071.0,False
DZA,RUS,1990,3959.0,False
DZA,GBR,1990,865.0,False
DZA,ITA,1990,1376.0,False
DZA,FRA,1990,924.0,False
DZA,DEU,1990,2850.0,False
DZA,USA,1990,2038.0,False
EGY,BDI,1990,3.0,False
EGY,COM,1990,47.0,False
EGY,DJI,1990,92.0,False
EGY,ERI,1990,115.0,False
