ISO3,Country_Name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AFG,Afghanistan,5174.0,1478.0,3302.0,4276.0,3721.0,8937.0,5516.0,3177.0,6396.0,6256.0,4629.0,5235.0,3725.0,30.0,660.0,711.0,1628.0,4734.0,6848.0,5655.0,6390.0,7038.0,7423.0,7730.0,8048.0,12351.0,17285.0,17916.0,18974.0,25679.0,29903.0,20475.0,35593.0,870.0,223.0,194.0,335.0
AGO,Angola,2810.0,2558.0,516.0,2346.0,12054.0,3975.0,187.0,29.0,51.0,1066.0,2273.0,1000.0,1123.0,521.0,25.0,25.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,25.0,0.0,25.0,47.0
ARG,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
ATG,Antigua & Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AUS,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,0.0,0.0,35.0,2167.0,1231.0,1507.0,44.0,0.0,29.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,30.0,0.0,0.0,0.0,25.0,0.0,46.0,72.0,141.0,36.0,0.0,0.0,7646.0,40.0,308.0,462.0,0.0,4.0
BDI,Burundi,0.0,0.0,272.0,61.0,0.0,56.0,382.0,987.0,1159.0,843.0,781.0,1529.0,1246.0,1293.0,912.0,433.0,298.0,141.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,56.0,185.0,0.0,0.0,0.0,61.0,139.0,26.0,242.0,93.0,60.0,98.0
BEN,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,28.0,77.0,176.0
BFA,Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,349.0,512.0,991.0,2093.0,4608.0,2199.0,4392.0
BGD,Bangladesh,26.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
BIH,Bosnia-Herzegovina,0.0,0.0,0.0,16882.0,13160.0,6936.0,8549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLZ,Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
BRA,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0
BRB,Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
CAF,Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,131.0,0.0,0.0,0.0,46.0,0.0,0.0,28.0,25.0,44.0,45.0,376.0,136.0,27.0,0.0,35.0,103.0,51.0,57.0,906.0,675.0,261.0,177.0,517.0
CHN,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
CIV,Ivory Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,140.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
CMR,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,221.0,98.0,754.0,693.0,429.0,581.0,406.0,359.0,231.0,435.0
COD,DR Congo (Zaire),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288.0,4465.0,3343.0,2953.0,1294.0,454.0,0.0,0.0,0.0,34.0,182.0,632.0,736.0,0.0,0.0,82.0,734.0,1474.0,146.0,0.0,506.0,3491.0,817.0,514.0,986.0,1017.0,1458.0,550.0,1054.0,9382.0
COG,Congo,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,10033.0,3272.0,626.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,Colombia,238.0,501.0,725.0,1479.0,182.0,1123.0,823.0,1192.0,560.0,939.0,1578.0,1879.0,1864.0,3387.0,2086.0,1360.0,1561.0,503.0,318.0,282.0,379.0,419.0,202.0,211.0,140.0,119.0,134.0,30.0,0.0,131.0,117.0,28.0,113.0,122.0,89.0,225.0,1151.0
COM,Comoros,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI,Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0
DJI,Djibouti,0.0,0.0,60.0,129.0,33.0,39.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
DZA,Algeria,0.0,0.0,34.0,257.0,800.0,1916.0,3008.0,1084.0,1403.0,3029.0,1031.0,947.0,642.0,539.0,670.0,451.0,229.0,255.0,472.0,339.0,505.0,236.0,267.0,256.0,147.0,107.0,110.0,86.0,60.0,33.0,0.0,26.0,0.0,0.0,0.0,0.0,40.0
ECU,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0
EGY,Egypt,0.0,0.0,0.0,0.0,103.0,145.0,191.0,85.0,66.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,767.0,355.0,497.0,680.0,637.0,527.0,112.0,231.0,0.0,0.0,4.0
ERI,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1000.0,47217.0,50000.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,Spain,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,Ethiopia,24358.0,49698.0,12225.0,165.0,36.0,75.0,25.0,236.0,0.0,1050.0,47925.0,50050.0,50.0,50.0,50.0,50.0,83.0,50.0,177.0,50.0,515.0,151.0,50.0,50.0,77.0,25.0,50.0,75.0,0.0,0.0,67.0,20916.0,124549.0,163219.0,1682.0,2824.0,4012.0
