iso3,year,conflict_intensity
AFG,1978,2.0
AFG,1979,2.0
AFG,1980,2.0
AFG,1981,2.0
AFG,1982,2.0
AFG,1983,2.0
AFG,1984,2.0
AFG,1985,2.0
AFG,1986,2.0
AFG,1987,2.0
AFG,1988,2.0
AFG,1989,5174.0
AFG,1990,1478.0
AFG,1991,3302.0
AFG,1992,4276.0
AFG,1993,3721.0
AFG,1994,8937.0
AFG,1995,5516.0
AFG,1996,3177.0
AFG,1997,6396.0
AFG,1998,6256.0
AFG,1999,4629.0
AFG,2000,5235.0
AFG,2001,3725.0
AFG,2002,30.0
AFG,2003,660.0
AFG,2004,711.0
AFG,2005,1628.0
AFG,2006,4734.0
AFG,2007,6848.0
AFG,2008,5655.0
AFG,2009,6390.0
AFG,2010,7038.0
AFG,2011,7423.0
AFG,2012,7730.0
AFG,2013,8048.0
AFG,2014,12351.0
AFG,2015,17285.0
AFG,2016,17916.0
AFG,2017,18974.0
AFG,2018,25679.0
AFG,2019,29903.0
AFG,2020,20475.0
AFG,2021,35593.0
AFG,2022,870.0
AFG,2023,223.0
AFG,2024,194.0
AFG,2025,335.0
AGO,1965,1.0
AGO,1989,2810.0
AGO,1990,2558.0
AGO,1991,516.0
AGO,1992,2346.0
AGO,1993,12054.0
AGO,1994,3975.0
AGO,1995,187.0
AGO,1996,29.0
AGO,1997,51.0
AGO,1998,1066.0
AGO,1999,2273.0
AGO,2000,1000.0
AGO,2001,1123.0
AGO,2002,521.0
AGO,2003,25.0
AGO,2004,25.0
AGO,2005,1.0
AGO,2006,1.0
AGO,2007,25.0
AGO,2008,1.0
AGO,2009,25.0
AGO,2010,0.0
AGO,2011,0.0
AGO,2012,0.0
AGO,2013,0.0
AGO,2014,1.0
AGO,2015,1.0
AGO,2016,25.0
AGO,2017,25.0
AGO,2018,0.0
AGO,2019,25.0
AGO,2020,25.0
AGO,2021,1.0
AGO,2022,25.0
AGO,2023,1.0
AGO,2024,25.0
AGO,2025,47.0
ALB,1946,1.0
ARG,1955,1.0
ARG,1963,1.0
ARG,1974,1.0
ARG,1975,1.0
ARG,1976,1.0
ARG,1977,1.0
ARG,1982,1.0
ARG,1989,0.0
ARG,1990,0.0
ARG,1991,0.0
ARG,1992,0.0
ARG,1993,0.0
ARG,1994,0.0
ARG,1995,0.0
ARG,1996,0.0
ARG,1997,0.0
ARG,1998,0.0
ARG,1999,0.0
ARG,2000,0.0
ARG,2001,0.0
ARG,2002,0.0
ARG,2003,0.0
ARG,2004,0.0
ARG,2005,0.0
ARG,2006,0.0
ARG,2007,0.0
ARG,2008,0.0
ARG,2009,0.0
ARG,2010,0.0
ARG,2011,0.0
ARG,2012,0.0
ARG,2013,0.0
ARG,2014,0.0
ARG,2015,0.0
ARG,2016,0.0
ARG,2017,0.0
ARG,2018,0.0
ARG,2019,0.0
ARG,2020,0.0
ARG,2021,0.0
ARG,2022,0.0
ARG,2023,0.0
ARG,2024,0.0
ARG,2025,114.0
ARM,1991,1.0
ARM,1992,1.0
ARM,1993,2.0
ARM,2004,1.0
ARM,2008,1.0
ATG,1989,0.0
ATG,1990,0.0
ATG,1991,0.0
ATG,1992,0.0
ATG,1993,0.0
ATG,1994,0.0
ATG,1995,0.0
ATG,1996,0.0
ATG,1997,0.0
ATG,1998,0.0
ATG,1999,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
ATG,2020,0.0
ATG,2021,0.0
ATG,2022,0.0
ATG,2023,0.0
ATG,2024,0.0
ATG,2025,1.0
AUS,1989,0.0
AUS,1990,0.0
AUS,1991,0.0
AUS,1992,0.0
AUS,1993,0.0
AUS,1994,0.0
AUS,1995,0.0
AUS,1996,0.0
AUS,1997,0.0
AUS,1998,0.0
AUS,1999,0.0
AUS,2000,0.0
AUS,2001,0.0
AUS,2002,0.0
AUS,2003,7927.0
AUS,2004,0.0
AUS,2005,0.0
AUS,2006,0.0
AUS,2007,0.0
AUS,2008,0.0
AUS,2009,0.0
AUS,2010,0.0
AUS,2011,0.0
AUS,2012,0.0
AUS,2013,0.0
AUS,2014,0.0
AUS,2015,0.0
AUS,2016,0.0
AUS,2017,0.0
AUS,2018,0.0
AUS,2019,0.0
AUS,2020,0.0
AUS,2021,0.0
AUS,2022,0.0
AUS,2023,0.0
AUS,2024,0.0
AUS,2025,0.0
AZE,1989,0.0
AZE,1990,0.0
AZE,1991,35.0
AZE,1992,2167.0
AZE,1993,1231.0
AZE,1994,1507.0
AZE,1995,44.0
AZE,1996,0.0
AZE,1997,29.0
AZE,1998,34.0
AZE,1999,0.0
AZE,2000,0.0
AZE,2001,0.0
AZE,2002,0.0
AZE,2003,0.0
AZE,2004,0.0
AZE,2005,25.0
AZE,2006,0.0
AZE,2007,0.0
AZE,2008,30.0
AZE,2009,0.0
AZE,2010,0.0
AZE,2011,0.0
AZE,2012,25.0
AZE,2013,0.0
AZE,2014,46.0
AZE,2015,72.0
AZE,2016,141.0
AZE,2017,36.0
AZE,2018,0.0
AZE,2019,0.0
AZE,2020,7646.0
AZE,2021,40.0
AZE,2022,308.0
AZE,2023,462.0
AZE,2024,0.0
AZE,2025,4.0
BDI,1989,0.0
BDI,1990,0.0
BDI,1991,272.0
BDI,1992,61.0
BDI,1993,0.0
BDI,1994,56.0
BDI,1995,382.0
BDI,1996,987.0
BDI,1997,1159.0
BDI,1998,843.0
BDI,1999,781.0
BDI,2000,1529.0
BDI,2001,1246.0
BDI,2002,1293.0
BDI,2003,912.0
BDI,2004,433.0
BDI,2005,298.0
BDI,2006,141.0
BDI,2007,0.0
BDI,2008,226.0
BDI,2009,0.0
BDI,2010,0.0
BDI,2011,0.0
BDI,2012,0.0
BDI,2013,0.0
BDI,2014,56.0
