iso3,year,education_index
AFG,1990,0.871961963
AFG,1991,0.915267456
AFG,1992,0.95857295
AFG,1993,1.001878443
AFG,1994,1.045183937
AFG,1995,1.08848943
AFG,1996,1.123601992
AFG,1997,1.158714555
AFG,1998,1.193827117
AFG,1999,1.228939679
AFG,2000,1.264052241
AFG,2001,1.315550666
AFG,2002,1.367049091
AFG,2003,1.418547515
AFG,2004,1.47004594
AFG,2005,1.521544365
AFG,2006,1.595280745
AFG,2007,1.669017126
AFG,2008,1.742753507
AFG,2009,1.816489888
AFG,2010,1.890226268
AFG,2011,1.937043018
AFG,2012,1.983859768
AFG,2013,2.030676517
AFG,2014,2.077493267
AFG,2015,2.124310017
AFG,2016,2.267770012
AFG,2017,2.411230008
AFG,2018,2.554690003
AFG,2019,2.698149999
AFG,2020,2.841609995
AFG,2021,2.98506999
AFG,2022,2.514790058
AFG,2025,1.0
AGO,1999,3.387042502
AGO,2000,3.425696188
AGO,2001,3.464791
AGO,2002,3.505244769
AGO,2003,3.545698537
AGO,2004,3.586152306
AGO,2005,3.626606075
AGO,2006,3.667059843
AGO,2007,3.707513612
AGO,2008,3.747967381
AGO,2009,3.788421149
AGO,2010,3.828874918
AGO,2011,3.869328687
AGO,2012,3.909782456
AGO,2013,3.950236224
AGO,2014,3.990689993
AGO,2015,5.315629959
AGO,2016,5.417390823
AGO,2017,5.521099768
AGO,2018,5.626794086
AGO,2019,5.734511785
AGO,2020,5.844291601
AGO,2021,5.844291601
AGO,2022,5.844291601
AGO,2025,1.0
ALB,1990,7.354632085
ALB,1991,7.352753507
ALB,1992,7.350874929
ALB,1993,7.348996351
ALB,1994,7.347117774
ALB,1995,7.345239196
ALB,1996,7.627025866
ALB,1997,7.908812536
ALB,1998,8.190599206
ALB,1999,8.472385876
ALB,2000,8.754172545
ALB,2001,8.823679924
ALB,2002,8.888405664
ALB,2003,8.953131403
ALB,2004,9.017857143
ALB,2005,9.082582882
ALB,2006,9.147308622
ALB,2007,9.212034362
ALB,2008,9.276760101
ALB,2009,9.451739947
ALB,2010,9.626719793
ALB,2011,9.801699638
ALB,2012,10.02511024
ALB,2013,10.01542816
ALB,2014,10.00574608
ALB,2015,9.996063995
ALB,2016,9.986381912
ALB,2017,9.976699829
ALB,2018,10.02484799
ALB,2019,10.07299615
ALB,2020,10.12114431
ALB,2021,10.12114431
ALB,2022,10.12114431
ALB,2025,1.0
AND,2000,9.806363724
AND,2001,9.891956443
AND,2002,9.978296239
AND,2003,10.06538963
AND,2004,10.70065022
AND,2005,10.08963966
AND,2006,10.41322041
AND,2007,10.4421978
AND,2008,10.47117519
AND,2009,10.50015259
AND,2010,10.52912998
AND,2011,10.55810738
AND,2012,10.58708477
AND,2013,10.61606216
AND,2014,10.64503956
AND,2015,10.57328033
AND,2016,10.55609989
AND,2017,10.73232317
AND,2018,10.90854645
AND,2019,11.08476973
AND,2020,11.260993
AND,2021,11.43721628
AND,2022,11.61343956
AND,2025,1.0
ARE,1990,5.759906188
ARE,1991,6.058643774
ARE,1992,6.35738136
ARE,1993,6.656118945
ARE,1994,6.954856531
ARE,1995,7.253594116
ARE,1996,7.499131858
ARE,1997,7.7446696
ARE,1998,7.990207341
ARE,1999,8.235745083
ARE,2000,8.481282824
ARE,2001,8.583590217
ARE,2002,8.685897609
ARE,2003,8.788205001
ARE,2004,8.890512394
ARE,2005,8.992819786
ARE,2006,9.160983432
ARE,2007,9.329147079
ARE,2008,9.497310725
ARE,2009,9.665474371
ARE,2010,9.833638018
ARE,2011,10.00180166
ARE,2012,10.16996531
ARE,2013,10.33812896
ARE,2014,10.5062926
