iso3,year,visa_openness_index
AFG,1990,15.0
AFG,1995,15.0
AFG,2000,15.0
AFG,2005,15.0
AFG,2006,12.0
AFG,2007,0.0
AFG,2008,22.0
AFG,2009,0.0
AFG,2010,26.0
AFG,2011,24.0
AFG,2012,26.0
AFG,2013,28.0
AFG,2014,28.0
AFG,2015,25.0
AFG,2016,25.0
AFG,2017,24.0
AFG,2018,30.0
AFG,2019,25.0
AFG,2020,26.0
AFG,2021,26.0
AFG,2022,26.0
AFG,2023,27.0
AFG,2024,28.0
AFG,2025,25.0
AGO,1990,15.0
AGO,1995,15.2
AGO,2000,16.7
AGO,2005,18.2
AGO,2006,19.0
AGO,2007,0.0
AGO,2008,31.0
AGO,2009,0.0
AGO,2010,34.0
AGO,2011,34.0
AGO,2012,37.0
AGO,2013,40.0
AGO,2014,42.0
AGO,2015,40.0
AGO,2016,45.0
AGO,2017,45.0
AGO,2018,49.0
AGO,2019,49.0
AGO,2020,50.0
AGO,2021,50.0
AGO,2022,50.0
AGO,2023,51.0
AGO,2024,53.0
AGO,2025,48.0
ALB,1990,15.0
ALB,1995,15.0
ALB,2000,15.0
ALB,2005,16.3
ALB,2006,17.0
ALB,2007,0.0
ALB,2008,36.0
ALB,2009,0.0
ALB,2010,49.0
ALB,2011,84.0
ALB,2012,84.0
ALB,2013,88.0
ALB,2014,91.0
ALB,2015,94.0
ALB,2016,98.0
ALB,2017,98.0
ALB,2018,114.0
ALB,2019,113.0
ALB,2020,114.0
ALB,2021,113.0
ALB,2022,114.0
ALB,2023,115.0
ALB,2024,123.0
ALB,2025,123.0
AND,1990,71.3
AND,1995,79.2
AND,2000,87.1
AND,2005,95.0
AND,2006,99.0
AND,2007,0.0
AND,2008,127.0
AND,2009,0.0
AND,2010,131.0
AND,2011,143.0
AND,2012,140.0
AND,2013,147.0
AND,2014,148.0
AND,2015,149.0
AND,2016,152.0
AND,2017,155.0
AND,2018,168.0
AND,2019,166.0
AND,2020,167.0
AND,2021,168.0
AND,2022,168.0
AND,2023,168.0
AND,2024,172.0
AND,2025,171.0
ARE,1990,25.2
ARE,1995,28.0
ARE,2000,30.8
ARE,2005,33.6
ARE,2006,35.0
ARE,2007,0.0
ARE,2008,52.0
ARE,2009,0.0
ARE,2010,64.0
ARE,2011,67.0
ARE,2012,70.0
ARE,2013,72.0
ARE,2014,77.0
ARE,2015,113.0
ARE,2016,122.0
ARE,2017,121.0
ARE,2018,161.0
ARE,2019,172.0
ARE,2020,170.0
ARE,2021,174.0
ARE,2022,175.0
ARE,2023,178.0
ARE,2024,183.0
ARE,2025,184.0
ARG,1990,72.7
ARG,1995,80.8
ARG,2000,88.9
ARG,2005,97.0
ARG,2006,101.0
ARG,2007,0.0
ARG,2008,127.0
ARG,2009,0.0
ARG,2010,132.0
ARG,2011,141.0
ARG,2012,140.0
ARG,2013,147.0
ARG,2014,150.0
ARG,2015,150.0
ARG,2016,152.0
ARG,2017,154.0
ARG,2018,170.0
ARG,2019,170.0
ARG,2020,170.0
ARG,2021,170.0
ARG,2022,170.0
ARG,2023,170.0
ARG,2024,174.0
ARG,2025,170.0
ARM,1990,16.6
ARM,1995,18.4
ARM,2000,20.2
ARM,2005,22.1
ARM,2006,23.0
ARM,2007,0.0
ARM,2008,46.0
ARM,2009,0.0
ARM,2010,51.0
ARM,2011,51.0
ARM,2012,52.0
ARM,2013,55.0
ARM,2014,55.0
ARM,2015,52.0
ARM,2016,57.0
ARM,2017,58.0
ARM,2018,61.0
ARM,2019,60.0
ARM,2020,63.0
ARM,2021,64.0
ARM,2022,65.0
ARM,2023,66.0
ARM,2024,68.0
ARM,2025,67.0
ATG,1990,45.4
ATG,1995,50.4
ATG,2000,55.4
ATG,2005,60.5
ATG,2006,63.0
ATG,2007,0.0
ATG,2008,82.0
